model,checkpoint,Overall,ARC Challenge,GSM8K,HellaSwag,MMLU,Winogrande,XWinograd,TruthfulQA,Overall_COT,ARC Challenge_COT,GSM8K_COT,HellaSwag_COT,MMLU_COT,Winogrande_COT,XWinograd_COT,TruthfulQA_COT,Unnamed: 0,N,D,family,Training Tokens (D),Model Parameters (N),Model Family,Average Benchmark Score,Training FLOPs ($6ND$),log_train_flops,Train Equivalent FLOPs
Llama-3.2-1B,main,0.3403516246663337,0.3114334470989761,0.0697498104624715,0.4366660027882892,0.3003845606039025,0.489344909234412,0.5153967183636772,0.2594859241126071,0.32566512339594766,0.2773037542662116,0.0576194086429113,0.4242182832105158,0.2668423301523999,0.4964483030781373,0.5075297819734772,0.2496940024479804,2,1000000000.0,9000000000000.0, llama,9000000000000.0,1000000000.0, llama,0.3403516246663337,5.4e+22,52.343270999439234,
OLMo-1B-0724-hf,step477000-tokens1000B,0.30559830619102524,0.2645051194539249,0.0144048521607278,0.4188408683529177,0.2553767269619712,0.4625098658247829,0.5118004045853001,0.211750305997552,0.3083295113696413,0.2551194539249147,0.0151630022744503,0.4076877116112328,0.2530978493092152,0.5146014206787688,0.4996628455832771,0.2129742962056303,18,1000000000.0,1000000000000.0, olmo,1000000000000.0,1000000000.0, olmo,0.30559830619102524,6e+21,50.14604642210301,3.3460321466991856e+21
OLMo-1B-0724-hf,step5000-tokens10B,0.283349451777595,0.1979522184300341,0.0174374526156178,0.2739494124676359,0.2323030907278165,0.5169692186266772,0.5037086985839514,0.241126070991432,0.27751723788259924,0.1868600682593856,0.0083396512509476,0.2725552678749253,0.234297108673978,0.4759273875295974,0.5149471791413801,0.2496940024479804,0,1000000000.0,10000000000.0, olmo,10000000000.0,1000000000.0, olmo,0.283349451777595,6e+19,45.540876236114926,1.953827634106398e+19
OLMo-1B-0724-hf,step48000-tokens100B,0.30221438571619746,0.2380546075085324,0.0204700530705079,0.3649671380203146,0.2474006551773251,0.5098658247829518,0.50708024275118,0.2276621787025703,0.3026455593311334,0.2337883959044368,0.0166793025018953,0.3568014339772953,0.252955419455918,0.5217048145224941,0.5138233310856373,0.222766217870257,13,1000000000.0,100000000000.0, olmo,100000000000.0,1000000000.0, olmo,0.30221438571619746,6e+20,47.84346132910897,1.2956537603918822e+21
pythia-1b-deduped,main,0.3032639740515582,0.2397610921501706,0.0212282031842304,0.3680541724756024,0.245905141717704,0.4988161010260458,0.49449314452686,0.2545899632802937,0.30242143735333615,0.2610921501706484,0.023502653525398,0.3604859589723163,0.2352941176470588,0.5090765588003157,0.5059563946954372,0.2215422276621787,25,1000000000.0,300000000000.0, pythia,300000000000.0,1000000000.0, pythia,0.3032639740515582,1.8e+21,48.942073617777076,1.6162969890449355e+21
OLMo-1B-0724-hf,main,0.32678906182326534,0.2977815699658703,0.0545868081880212,0.4415455088627763,0.2461900014242985,0.4909234411996843,0.523937963587323,0.2325581395348837,0.3313246928873019,0.2559726962457337,0.0500379075056861,0.4506074487153953,0.2446944879646774,0.5335438042620363,0.5567543268150146,0.2276621787025703,14,1000000000.0,3050000000000.0, olmo,3050000000000.0,1000000000.0, olmo,0.32678906182326534,1.83e+22,51.261188012722336,1.5541652866367682e+23
pythia-410m-deduped,main,0.29628569701309126,0.212457337883959,0.0212282031842304,0.3299143596893049,0.2342258937473294,0.5280189423835833,0.5131490222521915,0.2350061199510404,0.29133215240688315,0.2039249146757679,0.0128885519332827,0.3291177056363274,0.2289559891753311,0.5019731649565904,0.5311305911440773,0.2313341493268053,1,410000000.0,300000000000.0, pythia,300000000000.0,410000000.0, pythia,0.29628569701309126,7.38e+20,48.05047549849329,3.919134512449574e+20
OLMo-1B-0724-hf,step954000-tokens2000B,0.3106388521234827,0.2738907849829352,0.0181956027293404,0.4327823142800239,0.2398518729525708,0.4775059194948697,0.5021353113059115,0.230110159118727,0.3127861918058334,0.2517064846416382,0.0242608036391205,0.4265086636128261,0.2399230878792194,0.4901341752170481,0.5268599685322545,0.230110159118727,4,1000000000.0,2000000000000.0, olmo,2000000000000.0,1000000000.0, olmo,0.3106388521234827,1.2e+22,50.83919360266296,7.040505857949299e+21
