,pc_1,pc_2,pc_3
ARC Challenge,0.13737791866552182,0.0412865758458986,0.006820072485743276
GSM8K,0.25019034471172835,-0.07713831630328312,-0.026878110804620922
HellaSwag,0.1480113858891343,0.09057516864208202,-0.014241619442758884
MMLU,0.187000152280312,-0.026583101813905052,0.03160773971839417
Winogrande,0.09911551300701785,0.03897187164924771,0.005831387221566481
XWinograd,0.09274133495001895,0.028454322325076352,0.007487142830960679
TruthfulQA,0.03745700629892387,-0.03495535497802246,0.019025481423178458
