model,checkpoint,arc_challenge_acc_none,arc_challenge_acc_norm_none,gsm8k_exact_match_strict-match,gsm8k_exact_match_flexible-extract,hellaswag_acc_none,hellaswag_acc_norm_none,mmlu_acc_none,mmlu_humanities_acc_none,mmlu_formal_logic_acc_none,mmlu_high_school_european_history_acc_none,mmlu_high_school_us_history_acc_none,mmlu_high_school_world_history_acc_none,mmlu_international_law_acc_none,mmlu_jurisprudence_acc_none,mmlu_logical_fallacies_acc_none,mmlu_moral_disputes_acc_none,mmlu_moral_scenarios_acc_none,mmlu_philosophy_acc_none,mmlu_prehistory_acc_none,mmlu_professional_law_acc_none,mmlu_world_religions_acc_none,mmlu_other_acc_none,mmlu_business_ethics_acc_none,mmlu_clinical_knowledge_acc_none,mmlu_college_medicine_acc_none,mmlu_global_facts_acc_none,mmlu_human_aging_acc_none,mmlu_management_acc_none,mmlu_marketing_acc_none,mmlu_medical_genetics_acc_none,mmlu_miscellaneous_acc_none,mmlu_nutrition_acc_none,mmlu_professional_accounting_acc_none,mmlu_professional_medicine_acc_none,mmlu_virology_acc_none,mmlu_social_sciences_acc_none,mmlu_econometrics_acc_none,mmlu_high_school_geography_acc_none,mmlu_high_school_government_and_politics_acc_none,mmlu_high_school_macroeconomics_acc_none,mmlu_high_school_microeconomics_acc_none,mmlu_high_school_psychology_acc_none,mmlu_human_sexuality_acc_none,mmlu_professional_psychology_acc_none,mmlu_public_relations_acc_none,mmlu_security_studies_acc_none,mmlu_sociology_acc_none,mmlu_us_foreign_policy_acc_none,mmlu_stem_acc_none,mmlu_abstract_algebra_acc_none,mmlu_anatomy_acc_none,mmlu_astronomy_acc_none,mmlu_college_biology_acc_none,mmlu_college_chemistry_acc_none,mmlu_college_computer_science_acc_none,mmlu_college_mathematics_acc_none,mmlu_college_physics_acc_none,mmlu_computer_security_acc_none,mmlu_conceptual_physics_acc_none,mmlu_electrical_engineering_acc_none,mmlu_elementary_mathematics_acc_none,mmlu_high_school_biology_acc_none,mmlu_high_school_chemistry_acc_none,mmlu_high_school_computer_science_acc_none,mmlu_high_school_mathematics_acc_none,mmlu_high_school_physics_acc_none,mmlu_high_school_statistics_acc_none,mmlu_machine_learning_acc_none,truthfulqa_mc1_acc_none,winogrande_acc_none,xwinograd_acc_none,xwinograd_en_acc_none,xwinograd_fr_acc_none,xwinograd_jp_acc_none,xwinograd_pt_acc_none,xwinograd_ru_acc_none,xwinograd_zh_acc_none
Llama-3.2-1B,main,0.2773037542662116,0.3003412969283277,0.052312357846853674,0.0576194086429113,0.42421828321051586,0.5423222465644294,0.26684233015239994,0.2724760892667375,0.2619047619047619,0.32727272727272727,0.3382352941176471,0.35864978902953587,0.24793388429752067,0.2222222222222222,0.27607361963190186,0.2745664739884393,0.2324022346368715,0.2861736334405145,0.2839506172839506,0.26401564537157757,0.30994152046783624,0.2780817508850982,0.22,0.24528301886792453,0.24855491329479767,0.26,0.2645739910313901,0.33980582524271846,0.3333333333333333,0.32,0.2822477650063857,0.2908496732026144,0.2695035460992908,0.2977941176470588,0.22289156626506024,0.2544686382840429,0.2719298245614035,0.2777777777777778,0.2849740932642487,0.2358974358974359,0.22268907563025211,0.25504587155963304,0.3053435114503817,0.2581699346405229,0.2545454545454545,0.22857142857142856,0.263681592039801,0.23,0.2594354582936885,0.27,0.3037037037037037,0.2236842105263158,0.2569444444444444,0.19,0.22,0.28,0.2549019607843137,0.28,0.25957446808510637,0.25517241379310346,0.2671957671957672,0.35161290322580646,0.21674876847290642,0.25,0.25925925925925924,0.2251655629139073,0.19907407407407407,0.2857142857142857,0.24969400244798043,0.4964483030781373,0.5075297819734772,0.5144086021505376,0.5180722891566265,0.5151199165797706,0.4790874524714829,0.5047619047619047,0.47619047619047616
OLMo-1B-0724-hf,step477000-tokens1000B,0.2551194539249147,0.2883959044368601,0.0075815011372251705,0.015163002274450341,0.4076877116112328,0.5219079864568811,0.2530978493092152,0.2541976620616366,0.31746031746031744,0.23636363636363636,0.30392156862745096,0.2911392405063291,0.1487603305785124,0.21296296296296297,0.25766871165644173,0.28034682080924855,0.2670391061452514,0.21543408360128619,0.2345679012345679,0.2542372881355932,0.19883040935672514,0.2417122626327647,0.22,0.24528301886792453,0.2254335260115607,0.22,0.23318385650224216,0.2524271844660194,0.25213675213675213,0.17,0.2413793103448276,0.26143790849673204,0.2127659574468085,0.3161764705882353,0.20481927710843373,0.2622684432889178,0.2894736842105263,0.2474747474747475,0.22797927461139897,0.26666666666666666,0.2647058823529412,0.29541284403669726,0.22900763358778625,0.2434640522875817,0.22727272727272727,0.2816326530612245,0.2885572139303483,0.22,0.2537266095781795,0.26,0.26666666666666666,0.2631578947368421,0.3194444444444444,0.23,0.28,0.25,0.18627450980392157,0.22,0.2765957446808511,0.25517241379310346,0.23809523809523808,0.2645161290322581,0.28078817733990147,0.16,0.24074074074074073,0.24503311258278146,0.27314814814814814,0.24107142857142858,0.21297429620563035,0.5146014206787688,0.4996628455832771,0.5212903225806451,0.5421686746987951,0.4921793534932221,0.467680608365019,0.4634920634920635,0.44642857142857145
pythia-160m-deduped,main,0.22781569965870307,0.24573378839590443,0.0,0.003032600454890068,0.2811192989444334,0.29067914758016333,0.241917105825381,0.24484590860786398,0.2619047619047619,0.21818181818181817,0.24509803921568626,0.25316455696202533,0.23140495867768596,0.25925925925925924,0.20245398773006135,0.2832369942196532,0.25251396648044694,0.22186495176848875,0.23148148148148148,0.2438070404172099,0.24561403508771928,0.25040231734792406,0.26,0.22641509433962265,0.2138728323699422,0.25,0.2825112107623318,0.24271844660194175,0.31196581196581197,0.31,0.24904214559386972,0.2679738562091503,0.24822695035460993,0.17279411764705882,0.26506024096385544,0.2378940526486838,0.2631578947368421,0.2222222222222222,0.20725388601036268,0.2282051282051282,0.23109243697478993,0.22752293577981653,0.2824427480916031,0.2581699346405229,0.14545454545454545,0.23265306122448978,0.24378109452736318,0.33,0.23311132254995243,0.28,0.2,0.23026315789473684,0.2152777777777778,0.22,0.3,0.18,0.3137254901960784,0.25,0.251063829787234,0.31724137931034485,0.21693121693121692,0.23870967741935484,0.21182266009852216,0.19,0.24814814814814815,0.18543046357615894,0.21296296296296297,0.20535714285714285,0.2484700122399021,0.49013417521704816,0.5093279388626658,0.5109677419354839,0.5301204819277109,0.5182481751824818,0.5171102661596958,0.5142857142857142,0.4742063492063492
OLMo-1B-0724-hf,step5000-tokens10B,0.18686006825938567,0.23378839590443687,0.0,0.008339651250947688,0.2725552678749253,0.27972515435172274,0.23429710867397807,0.23910733262486716,0.2619047619047619,0.2787878787878788,0.2549019607843137,0.26582278481012656,0.23140495867768596,0.2037037037037037,0.2147239263803681,0.2514450867052023,0.22793296089385476,0.1639871382636656,0.22530864197530864,0.2438070404172099,0.3333333333333333,0.2507241712262633,0.37,0.21132075471698114,0.23121387283236994,0.2,0.2914798206278027,0.13592233009708737,0.2905982905982906,0.3,0.2554278416347382,0.24836601307189543,0.25177304964539005,0.21323529411764705,0.26506024096385544,0.22554436139096523,0.2543859649122807,0.2222222222222222,0.18652849740932642,0.2358974358974359,0.21428571428571427,0.1908256880733945,0.2748091603053435,0.25980392156862747,0.20909090909090908,0.1836734693877551,0.22885572139303484,0.29,0.2194735172851253,0.23,0.1925925925925926,0.17105263157894737,0.2013888888888889,0.22,0.17,0.32,0.23529411764705882,0.31,0.19148936170212766,0.27586206896551724,0.24338624338624337,0.21935483870967742,0.1921182266009852,0.27,0.23333333333333334,0.19205298013245034,0.14351851851851852,0.25,0.24969400244798043,0.47592738752959746,0.5149471791413801,0.5208602150537635,0.5783132530120482,0.5130344108446299,0.5285171102661597,0.4888888888888889,0.49007936507936506
OLMo-1B-0724-hf,step48000-tokens100B,0.23378839590443687,0.26535836177474403,0.00530705079605762,0.016679302501895376,0.35680143397729536,0.4329814777932683,0.252955419455918,0.2558979808714134,0.20634920634920634,0.296969696969697,0.25980392156862747,0.2320675105485232,0.2644628099173554,0.32407407407407407,0.2392638036809816,0.2658959537572254,0.25139664804469275,0.2379421221864952,0.24382716049382716,0.258148631029987,0.28654970760233917,0.2513678789829417,0.15,0.24150943396226415,0.2658959537572254,0.29,0.2600896860986547,0.22330097087378642,0.28205128205128205,0.31,0.26181353767560667,0.24183006535947713,0.2872340425531915,0.19852941176470587,0.21084337349397592,0.24861878453038674,0.2982456140350877,0.23737373737373738,0.24352331606217617,0.23846153846153847,0.226890756302521,0.23302752293577983,0.21374045801526717,0.2549019607843137,0.24545454545454545,0.31020408163265306,0.25870646766169153,0.24,0.25436092610212496,0.22,0.31851851851851853,0.2565789473684211,0.2569444444444444,0.19,0.25,0.24,0.2647058823529412,0.28,0.2978723404255319,0.20689655172413793,0.24338624338624337,0.26129032258064516,0.22660098522167488,0.29,0.24074074074074073,0.2582781456953642,0.23148148148148148,0.32142857142857145,0.22276621787025705,0.5217048145224941,0.5138233310856373,0.5234408602150538,0.5662650602409639,0.5172054223149114,0.4714828897338403,0.4507936507936508,0.5158730158730159
pythia-1b-deduped,main,0.26109215017064846,0.2627986348122867,0.01592115238817286,0.02350265352539803,0.3604859589723163,0.4410476000796654,0.23529411764705882,0.24442082890541977,0.2777777777777778,0.21212121212121213,0.2647058823529412,0.25738396624472576,0.2644628099173554,0.28703703703703703,0.24539877300613497,0.2543352601156069,0.2424581005586592,0.19614147909967847,0.23148148148148148,0.24445893089960888,0.26900584795321636,0.24686192468619247,0.29,0.22264150943396227,0.19653179190751446,0.23,0.33183856502242154,0.14563106796116504,0.2905982905982906,0.25,0.2554278416347382,0.20915032679738563,0.25886524822695034,0.19117647058823528,0.3072289156626506,0.22619434514137146,0.24561403508771928,0.21717171717171718,0.17098445595854922,0.21025641025641026,0.21428571428571427,0.20733944954128442,0.25190839694656486,0.2647058823529412,0.21818181818181817,0.2,0.23880597014925373,0.3,0.21915635902315256,0.22,0.22962962962962963,0.20394736842105263,0.2638888888888889,0.21,0.25,0.23,0.19607843137254902,0.27,0.2723404255319149,0.2620689655172414,0.19576719576719576,0.20967741935483872,0.1724137931034483,0.23,0.21851851851851853,0.19205298013245034,0.1527777777777778,0.29464285714285715,0.2215422276621787,0.5090765588003157,0.5059563946954372,0.5221505376344086,0.5903614457831325,0.48905109489051096,0.49049429657794674,0.4507936507936508,0.49206349206349204
OLMo-1B-0724-hf,main,0.25597269624573377,0.30204778156996587,0.037149355572403335,0.050037907505686124,0.4506074487153953,0.5813582951603267,0.2446944879646774,0.24909670563230607,0.2619047619047619,0.24848484848484848,0.23529411764705882,0.29957805907172996,0.2644628099173554,0.26851851851851855,0.2147239263803681,0.2774566473988439,0.24581005586592178,0.21221864951768488,0.23148148148148148,0.25358539765319427,0.21637426900584794,0.2578049565497264,0.29,0.2641509433962264,0.23121387283236994,0.22,0.27802690582959644,0.23300970873786409,0.3247863247863248,0.3,0.2515964240102171,0.2222222222222222,0.2695035460992908,0.22794117647058823,0.2710843373493976,0.23301917452063697,0.24561403508771928,0.1919191919191919,0.18134715025906736,0.2128205128205128,0.21008403361344538,0.22568807339449543,0.2824427480916031,0.26633986928104575,0.23636363636363636,0.19591836734693877,0.2835820895522388,0.29,0.2366000634316524,0.2,0.22962962962962963,0.2236842105263158,0.2847222222222222,0.21,0.23,0.28,0.22549019607843138,0.32,0.2936170212765957,0.2620689655172414,0.24338624338624337,0.2032258064516129,0.19704433497536947,0.35,0.2037037037037037,0.1986754966887417,0.18981481481481483,0.26785714285714285,0.22766217870257038,0.5335438042620363,0.5567543268150146,0.5948387096774194,0.5903614457831325,0.5318039624608968,0.5247148288973384,0.4793650793650794,0.4880952380952381
pythia-410m-deduped,main,0.20392491467576793,0.25,0.000758150113722517,0.01288855193328279,0.3291177056363274,0.3857797251543517,0.22895598917533114,0.23676939426142402,0.2777777777777778,0.21212121212121213,0.2549019607843137,0.25316455696202533,0.2396694214876033,0.2962962962962963,0.2331288343558282,0.24277456647398843,0.2335195530726257,0.18006430868167203,0.2037037037037037,0.2405475880052151,0.28654970760233917,0.23624074670099773,0.28,0.2037735849056604,0.2023121387283237,0.19,0.30493273542600896,0.18446601941747573,0.26495726495726496,0.3,0.23243933588761176,0.22549019607843138,0.23404255319148937,0.21323529411764705,0.26506024096385544,0.22456938576535587,0.21929824561403508,0.18181818181818182,0.20207253886010362,0.21794871794871795,0.2184873949579832,0.2018348623853211,0.22900763358778625,0.2777777777777778,0.20909090909090908,0.19591836734693877,0.23880597014925373,0.25,0.2143989850935617,0.22,0.23703703703703705,0.21052631578947367,0.2361111111111111,0.15,0.22,0.2,0.18627450980392157,0.29,0.2553191489361702,0.25517241379310346,0.2037037037037037,0.1935483870967742,0.19704433497536947,0.22,0.2222222222222222,0.17880794701986755,0.1527777777777778,0.3125,0.23133414932680538,0.5019731649565904,0.5311305911440773,0.5458064516129032,0.4939759036144578,0.5088633993743483,0.49049429657794674,0.5333333333333333,0.5317460317460317
OLMo-1B-0724-hf,step954000-tokens2000B,0.25170648464163825,0.28924914675767915,0.013646702047005308,0.024260803639120546,0.42650866361282613,0.5486954789882493,0.23992308787921948,0.24867162592986186,0.2222222222222222,0.28484848484848485,0.30392156862745096,0.25316455696202533,0.256198347107438,0.25925925925925924,0.22085889570552147,0.24855491329479767,0.24134078212290502,0.19614147909967847,0.2345679012345679,0.2542372881355932,0.28654970760233917,0.2574831026713872,0.25,0.26037735849056604,0.2254335260115607,0.21,0.30493273542600896,0.1941747572815534,0.3076923076923077,0.3,0.26053639846743293,0.24183006535947713,0.24822695035460993,0.22794117647058823,0.27710843373493976,0.22586935326616833,0.2719298245614035,0.17676767676767677,0.21243523316062177,0.2128205128205128,0.21008403361344538,0.22201834862385322,0.22900763358778625,0.2679738562091503,0.17272727272727273,0.17959183673469387,0.23880597014925373,0.29,0.22327941642879798,0.22,0.25925925925925924,0.23026315789473684,0.24305555555555555,0.19,0.26,0.21,0.2647058823529412,0.24,0.2723404255319149,0.2413793103448276,0.24867724867724866,0.18064516129032257,0.18719211822660098,0.24,0.21851851851851853,0.18543046357615894,0.1388888888888889,0.2857142857142857,0.23011015911872704,0.49013417521704816,0.5268599685322545,0.5376344086021505,0.6024096385542169,0.5203336809176226,0.5475285171102662,0.46984126984126984,0.501984126984127
